,id,park,plain_dates,genus_species,url,image_url,hyperlink,status
6134,62088022,Briones,20201007,Cirsium vulgare,https://www.inaturalist.org/observations/62088022,https://inaturalist-open-data.s3.amazonaws.com/photos/99434146/medium.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/99434146/medium.jpeg,1
6199,68434365,Briones,20210121,Cirsium vulgare,https://www.inaturalist.org/observations/68434365,https://inaturalist-open-data.s3.amazonaws.com/photos/110808305/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/110808305/medium.jpg,1
6307,86172649,Briones,20210707,Cirsium vulgare,https://www.inaturalist.org/observations/86172649,https://static.inaturalist.org/photos/141913605/medium.jpg,https://static.inaturalist.org/photos/141913605/medium.jpg,1
6325,95417647,Briones,20210918,Cirsium vulgare,https://www.inaturalist.org/observations/95417647,https://inaturalist-open-data.s3.amazonaws.com/photos/158404106/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/158404106/medium.jpg,1
6367,105137618,Tilden,20220117,Cirsium vulgare,https://www.inaturalist.org/observations/105137618,https://inaturalist-open-data.s3.amazonaws.com/photos/176335262/medium.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/176335262/medium.jpeg,1
6463,107978399,Tilden,20220305,Cirsium vulgare,https://www.inaturalist.org/observations/107978399,https://inaturalist-open-data.s3.amazonaws.com/photos/181707609/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/181707609/medium.jpg,1
6512,108543402,Tilden,20220313,Cirsium vulgare,https://www.inaturalist.org/observations/108543402,https://static.inaturalist.org/photos/182769277/medium.jpg,https://static.inaturalist.org/photos/182769277/medium.jpg,1
6565,109620789,Tilden,20220326,Cirsium vulgare,https://www.inaturalist.org/observations/109620789,https://inaturalist-open-data.s3.amazonaws.com/photos/184779270/medium.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/184779270/medium.jpeg,1
7179,132377123,Tilden,20220825,Cirsium vulgare,https://www.inaturalist.org/observations/132377123,https://static.inaturalist.org/photos/225424120/medium.jpg,https://static.inaturalist.org/photos/225424120/medium.jpg,1
7197,104387754,Tilden,20220104,Cirsium vulgare,https://www.inaturalist.org/observations/104387754,https://inaturalist-open-data.s3.amazonaws.com/photos/174901156/medium.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/174901156/medium.jpeg,1
7490,129498233,Tilden,20220804,Cirsium vulgare,https://www.inaturalist.org/observations/129498233,https://inaturalist-open-data.s3.amazonaws.com/photos/220077211/medium.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/220077211/medium.jpeg,1
7493,129659790,Tilden,20220805,Cirsium vulgare,https://www.inaturalist.org/observations/129659790,https://static.inaturalist.org/photos/220379620/medium.jpg,https://static.inaturalist.org/photos/220379620/medium.jpg,1
